date,price_mmk_per_kg,market
2022-01-01,1345.0,Mandalay
2022-02-01,1396.2,Mandalay
2022-03-01,1437.5,Mandalay
2022-04-01,1521.9,Mandalay
2022-05-01,1588.5,Mandalay
2022-06-01,1663.2,Mandalay
2022-07-01,1692.3,Mandalay
2022-08-01,1690.3,Mandalay
2022-09-01,1664.6,Mandalay
2022-10-01,1608.1,Mandalay
2022-11-01,1584.7,Mandalay
2022-12-01,1564.5,Mandalay
2023-01-01,1562.4,Mandalay
2023-02-01,1594.6,Mandalay
2023-03-01,1639.8,Mandalay
2023-04-01,1735.3,Mandalay
2023-05-01,1802.9,Mandalay
2023-06-01,1861.7,Mandalay
2023-07-01,1898.8,Mandalay
2023-08-01,1911.9,Mandalay
2023-09-01,1887.4,Mandalay
2023-10-01,1826.9,Mandalay
2023-11-01,1784.7,Mandalay
2023-12-01,1757.7,Mandalay
2024-01-01,1774.8,Mandalay
2024-02-01,1798.2,Mandalay
2024-03-01,1872.7,Mandalay
2024-04-01,1958.4,Mandalay
2024-05-01,2040.4,Mandalay
2024-06-01,2091.5,Mandalay
2024-07-01,2136.9,Mandalay
2024-08-01,2146.4,Mandalay
2024-09-01,2105.2,Mandalay
2024-10-01,2066.2,Mandalay
2024-11-01,2019.4,Mandalay
2024-12-01,1997.9,Mandalay
2025-01-01,2028.5,Mandalay
2025-02-01,2041.4,Mandalay
2025-03-01,2112.4,Mandalay
2025-04-01,2186.7,Mandalay
2025-05-01,2296.3,Mandalay
2025-06-01,2342.0,Mandalay
2025-07-01,2378.1,Mandalay
2025-08-01,2387.2,Mandalay
2025-09-01,2390.8,Mandalay
2025-10-01,2333.5,Mandalay
2025-11-01,2308.4,Mandalay
2025-12-01,2281.7,Mandalay
