date,price_mmk_per_kg,market
2022-01-01,1750.0,Mandalay
2022-02-01,1781.2,Mandalay
2022-03-01,1853.0,Mandalay
2022-04-01,1918.7,Mandalay
2022-05-01,2009.5,Mandalay
2022-06-01,2081.8,Mandalay
2022-07-01,2118.7,Mandalay
2022-08-01,2127.2,Mandalay
2022-09-01,2086.5,Mandalay
2022-10-01,2023.1,Mandalay
2022-11-01,1975.8,Mandalay
2022-12-01,1943.5,Mandalay
2023-01-01,1937.8,Mandalay
2023-02-01,1980.8,Mandalay
2023-03-01,2058.4,Mandalay
2023-04-01,2134.0,Mandalay
2023-05-01,2216.7,Mandalay
2023-06-01,2306.8,Mandalay
2023-07-01,2339.6,Mandalay
2023-08-01,2340.0,Mandalay
2023-09-01,2301.2,Mandalay
2023-10-01,2248.7,Mandalay
2023-11-01,2215.4,Mandalay
2023-12-01,2168.0,Mandalay
2024-01-01,2170.3,Mandalay
2024-02-01,2201.3,Mandalay
2024-03-01,2286.0,Mandalay
2024-04-01,2391.6,Mandalay
2024-05-01,2464.3,Mandalay
2024-06-01,2526.5,Mandalay
2024-07-01,2586.4,Mandalay
2024-08-01,2589.0,Mandalay
2024-09-01,2567.2,Mandalay
2024-10-01,2491.9,Mandalay
2024-11-01,2466.8,Mandalay
2024-12-01,2439.6,Mandalay
2025-01-01,2439.1,Mandalay
2025-02-01,2480.4,Mandalay
2025-03-01,2532.3,Mandalay
2025-04-01,2631.1,Mandalay
2025-05-01,2722.2,Mandalay
2025-06-01,2800.7,Mandalay
2025-07-01,2834.9,Mandalay
2025-08-01,2848.8,Mandalay
2025-09-01,2814.4,Mandalay
2025-10-01,2774.5,Mandalay
2025-11-01,2721.8,Mandalay
2025-12-01,2722.0,Mandalay
