date,price_mmk_per_kg,market
2022-01-01,1461.0,Mandalay
2022-02-01,1475.6,Mandalay
2022-03-01,1539.5,Mandalay
2022-04-01,1634.0,Mandalay
2022-05-01,1722.7,Mandalay
2022-06-01,1787.1,Mandalay
2022-07-01,1801.6,Mandalay
2022-08-01,1823.3,Mandalay
2022-09-01,1783.1,Mandalay
2022-10-01,1722.7,Mandalay
2022-11-01,1689.4,Mandalay
2022-12-01,1664.7,Mandalay
2023-01-01,1644.4,Mandalay
2023-02-01,1679.1,Mandalay
2023-03-01,1771.1,Mandalay
2023-04-01,1853.8,Mandalay
2023-05-01,1920.6,Mandalay
2023-06-01,1984.3,Mandalay
2023-07-01,2028.9,Mandalay
2023-08-01,2020.9,Mandalay
2023-09-01,1999.0,Mandalay
2023-10-01,1953.8,Mandalay
2023-11-01,1920.8,Mandalay
2023-12-01,1873.5,Mandalay
2024-01-01,1897.5,Mandalay
2024-02-01,1929.6,Mandalay
2024-03-01,1987.0,Mandalay
2024-04-01,2073.1,Mandalay
2024-05-01,2171.4,Mandalay
2024-06-01,2232.5,Mandalay
2024-07-01,2262.6,Mandalay
2024-08-01,2282.2,Mandalay
2024-09-01,2265.8,Mandalay
2024-10-01,2207.2,Mandalay
2024-11-01,2179.8,Mandalay
2024-12-01,2152.1,Mandalay
2025-01-01,2148.8,Mandalay
2025-02-01,2200.5,Mandalay
2025-03-01,2250.7,Mandalay
2025-04-01,2336.5,Mandalay
2025-05-01,2450.6,Mandalay
2025-06-01,2499.5,Mandalay
2025-07-01,2544.4,Mandalay
2025-08-01,2555.8,Mandalay
2025-09-01,2536.3,Mandalay
2025-10-01,2491.6,Mandalay
2025-11-01,2473.2,Mandalay
2025-12-01,2422.5,Mandalay
