date,price_mmk_per_kg,market
2022-01-01,2140.0,Mandalay
2022-02-01,2179.2,Mandalay
2022-03-01,2262.4,Mandalay
2022-04-01,2356.8,Mandalay
2022-05-01,2456.4,Mandalay
2022-06-01,2544.1,Mandalay
2022-07-01,2573.2,Mandalay
2022-08-01,2576.3,Mandalay
2022-09-01,2535.7,Mandalay
2022-10-01,2482.3,Mandalay
2022-11-01,2431.0,Mandalay
2022-12-01,2413.0,Mandalay
2023-01-01,2403.0,Mandalay
2023-02-01,2436.4,Mandalay
2023-03-01,2519.8,Mandalay
2023-04-01,2610.5,Mandalay
2023-05-01,2717.4,Mandalay
2023-06-01,2798.4,Mandalay
2023-07-01,2843.8,Mandalay
2023-08-01,2848.2,Mandalay
2023-09-01,2801.9,Mandalay
2023-10-01,2754.9,Mandalay
2023-11-01,2722.0,Mandalay
2023-12-01,2690.4,Mandalay
2024-01-01,2693.8,Mandalay
2024-02-01,2740.7,Mandalay
2024-03-01,2822.6,Mandalay
2024-04-01,2916.7,Mandalay
2024-05-01,2998.1,Mandalay
2024-06-01,3085.7,Mandalay
2024-07-01,3122.6,Mandalay
2024-08-01,3148.6,Mandalay
2024-09-01,3111.0,Mandalay
2024-10-01,3060.5,Mandalay
2024-11-01,3010.3,Mandalay
2024-12-01,2986.4,Mandalay
2025-01-01,2997.6,Mandalay
2025-02-01,3046.1,Mandalay
2025-03-01,3110.7,Mandalay
2025-04-01,3214.7,Mandalay
2025-05-01,3345.9,Mandalay
2025-06-01,3424.3,Mandalay
2025-07-01,3474.0,Mandalay
2025-08-01,3467.9,Mandalay
2025-09-01,3438.2,Mandalay
2025-10-01,3398.6,Mandalay
2025-11-01,3345.4,Mandalay
2025-12-01,3340.4,Mandalay
