date,price_mmk_per_kg,market
2022-01-01,494.0,Mandalay
2022-02-01,513.8,Mandalay
2022-03-01,513.9,Mandalay
2022-04-01,546.4,Mandalay
2022-05-01,557.0,Mandalay
2022-06-01,592.3,Mandalay
2022-07-01,605.4,Mandalay
2022-08-01,592.8,Mandalay
2022-09-01,585.0,Mandalay
2022-10-01,565.9,Mandalay
2022-11-01,561.8,Mandalay
2022-12-01,554.2,Mandalay
2023-01-01,554.9,Mandalay
2023-02-01,584.4,Mandalay
2023-03-01,592.2,Mandalay
2023-04-01,612.5,Mandalay
2023-05-01,648.8,Mandalay
2023-06-01,657.8,Mandalay
2023-07-01,686.6,Mandalay
2023-08-01,686.8,Mandalay
2023-09-01,668.7,Mandalay
2023-10-01,663.4,Mandalay
2023-11-01,635.1,Mandalay
2023-12-01,637.3,Mandalay
2024-01-01,622.8,Mandalay
2024-02-01,658.0,Mandalay
2024-03-01,659.7,Mandalay
2024-04-01,684.8,Mandalay
2024-05-01,732.9,Mandalay
2024-06-01,736.8,Mandalay
2024-07-01,771.4,Mandalay
2024-08-01,756.4,Mandalay
2024-09-01,745.2,Mandalay
2024-10-01,745.7,Mandalay
2024-11-01,740.3,Mandalay
2024-12-01,708.3,Mandalay
2025-01-01,728.7,Mandalay
2025-02-01,747.9,Mandalay
2025-03-01,755.5,Mandalay
2025-04-01,781.5,Mandalay
2025-05-01,817.5,Mandalay
2025-06-01,843.3,Mandalay
2025-07-01,847.9,Mandalay
2025-08-01,852.9,Mandalay
2025-09-01,843.7,Mandalay
2025-10-01,844.1,Mandalay
2025-11-01,811.7,Mandalay
2025-12-01,820.8,Mandalay
